"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,27165,11245,11048,"Minnesota","MN",-0.01751889728768341,"Watonwan County","Watonwan County","minnesota/watonwan-county",435,25.397701149425288,65,25.397701149425288,435
2024,27075,10912,10798,"Minnesota","MN",-0.01044721407624638,"Lake County","Lake County","minnesota/lake-county",2109,5.119962067330488,66,5.119962067330488,2109
2024,27063,9995,9940,"Minnesota","MN",-0.005502751375687898,"Jackson County","Jackson County","minnesota/jackson-county",703,14.139402560455192,67,14.139402560455192,703
2024,27149,9666,9841,"Minnesota","MN",0.018104696875646642,"Stevens County","Stevens County","minnesota/stevens-county",564,17.44858156028369,68,17.44858156028369,564
2024,27151,9800,9667,"Minnesota","MN",-0.013571428571428568,"Swift County","Swift County","minnesota/swift-county",742,13.028301886792454,69,13.028301886792454,742
2024,27133,9676,9548,"Minnesota","MN",-0.013228606862339842,"Rock County","Rock County","minnesota/rock-county",482,19.809128630705395,70,19.809128630705395,482
2024,27173,9495,9450,"Minnesota","MN",-0.004739336492891044,"Yellow Medicine County","Yellow Medicine County","minnesota/yellow-medicine-county",759,12.450592885375494,71,12.450592885375494,759
2024,27117,9417,9163,"Minnesota","MN",-0.026972496548794744,"Pipestone County","Pipestone County","minnesota/pipestone-county",465,19.705376344086023,72,19.705376344086023,465
2024,27089,9027,8731,"Minnesota","MN",-0.03279051733687821,"Marshall County","Marshall County","minnesota/marshall-county",1775,4.9188732394366195,73,4.9188732394366195,1775
2024,27029,8578,8650,"Minnesota","MN",0.008393564933550923,"Clearwater County","Clearwater County","minnesota/clearwater-county",999,8.65865865865866,74,8.65865865865866,999
2024,27101,8166,8058,"Minnesota","MN",-0.013225569434239581,"Murray County","Murray County","minnesota/murray-county",705,11.429787234042553,75,11.429787234042553,705
2024,27073,6699,6604,"Minnesota","MN",-0.014181221077772754,"Lac qui Parle County","Lac qui Parle County","minnesota/lac-qui-parle-county",765,8.632679738562091,76,8.632679738562091,765
2024,27107,6436,6287,"Minnesota","MN",-0.023151025481665588,"Norman County","Norman County","minnesota/norman-county",873,7.2016036655211915,77,7.2016036655211915,873
2024,27167,6479,6254,"Minnesota","MN",-0.03472758141688537,"Wilkin County","Wilkin County","minnesota/wilkin-county",751,8.327563249001331,78,8.327563249001331,751
2024,27051,6093,6157,"Minnesota","MN",0.010503856884950036,"Grant County","Grant County","minnesota/grant-county",548,11.235401459854014,79,11.235401459854014,548
2024,27031,5597,5557,"Minnesota","MN",-0.007146685724495283,"Cook County","Cook County","minnesota/cook-county",1453,3.8245010323468684,80,3.8245010323468684,1453
2024,27081,5625,5466,"Minnesota","MN",-0.028266666666666662,"Lincoln County","Lincoln County","minnesota/lincoln-county",537,10.17877094972067,81,10.17877094972067,537
2024,27087,5380,5221,"Minnesota","MN",-0.02955390334572494,"Mahnomen County","Mahnomen County","minnesota/mahnomen-county",558,9.35663082437276,82,9.35663082437276,558
2024,27011,5158,5061,"Minnesota","MN",-0.018805738658394744,"Big Stone County","Big Stone County","minnesota/big-stone-county",499,10.142284569138276,83,10.142284569138276,499
2024,27069,4208,4034,"Minnesota","MN",-0.04134980988593151,"Kittson County","Kittson County","minnesota/kittson-county",1099,3.6706096451319383,84,3.6706096451319383,1099
2024,27125,3938,3941,"Minnesota","MN",0.0007618080243778635,"Red Lake County","Red Lake County","minnesota/red-lake-county",432,9.122685185185185,85,9.122685185185185,432
2024,27077,3765,3670,"Minnesota","MN",-0.025232403718459473,"Lake of the Woods County","Lake of the Woods County","minnesota/lake-of-the-woods-county",1298,2.827426810477658,86,2.827426810477658,1298
2024,27155,3354,3030,"Minnesota","MN",-0.09660107334525936,"Traverse County","Traverse County","minnesota/traverse-county",574,5.2787456445993035,87,5.2787456445993035,574
